
         Overlap matrices  exact - Jain states for N=8 electrons
OVERL2 =     9.5112236774785D-02

8_86j1            8-86-1              
OVERL  =    0.95125582437108
OVERL2 =    0.90488764339989

8_86j1            8-86-2              
OVERL  =     8.5446884142475D-05
OVERL2 =     7.3011700096575D-09

8_86j2            8-86-0              
OVERL  =   -0.97944460844421
OVERL2 =    0.95931174101043

8_86j2            8-86-1              
OVERL  =   -0.20171587696226
OVERL2 =     4.0689295018655D-02

8_86j2            8-86-2              
OVERL  =     4.5758098622394D-05
OVERL2 =     2.0938035895368D-09

8_87j1            8-87-0              
OVERL  =   -0.17293805799365
OVERL2 =     2.9907571902616D-02

8_87j1            8-87-1              
OVERL  =   -0.90347111040487
OVERL2 =    0.81626004733622

8_87j1            8-87-2              
OVERL  =   -0.39221703391584
OVERL2 =    0.15383420169374

8_87j1            8-87-3              
OVERL  =     2.7318654587793D-04
OVERL2 =     7.4630888848716D-08

8_87j2            8-87-0              
OVERL  =    0.40280702902161
OVERL2 =    0.16225350262922

8_87j2            8-87-1              
OVERL  =    0.23757222926620
OVERL2 =     5.6440564118511D-02

8_87j2            8-87-2              
OVERL  =    0.88391525438188
OVERL2 =    0.78130617692898

8_87j2            8-87-3              
OVERL  =    -6.0184407918489D-04
OVERL2 =     3.6221629564991D-07

8_87j3            8-87-0              
OVERL  =   -0.96474787596497
OVERL2 =    0.93073846417892

8_87j3            8-87-1              
OVERL  =    -8.2432093428310D-02
OVERL2 =     6.7950500269737D-03

8_87j3            8-87-2              
OVERL  =   -0.24994172297112
OVERL2 =     6.2470864881775D-02

8_87j3            8-87-3              
OVERL  =     1.7238933473090D-04
OVERL2 =     2.9718082728961D-08



